hz,measured_db,target_db,tolerance_db
40,-7.5996,-7,1.5
100,-0.630649,0,1.5
400,-0.0162674,0,1.5
1000,0,0,1.5
1600,-0.0515819,0,1.5
5000,-10.0037,-10,1.5
8000,-18.0135,-18,1.5
31.5,-9.48447,-9,2.5
2500,-2.522,-2.5,2.5
