hz,measured_db,target_db,tolerance_db
40,-7.66803,-7,1.5
100,-0.558458,0,1.5
400,0.00640796,0,1.5
1000,0,0,1.5
1600,-0.0363424,0,1.5
5000,-10.0038,-10,1.5
8000,-18.0104,-18,1.5
31.5,-9.72455,-9,2.5
2500,-2.51645,-2.5,2.5
